channel,mean,rms,meanerr,rmserr,tv
1900,550.864,6.76342,0.143316,0.154717,9754
1899,522.43,5.49332,0.114562,0.143839,9754
1898,545.369,6.13311,0.167021,0.123753,9754
1897,578.628,6.74352,0.152634,0.233682,9754
1896,607.612,6.54985,0.136212,0.187043,9754
1895,605.691,6.71389,0.134692,0.196548,9754
1894,614.101,6.37732,0.148172,0.197759,9754
1577,2519.06,7.62804,0.205983,0.252856,9754
1576,767.232,15.0166,0.377253,0.571552,9754
1893,1115.83,11.9388,0.259643,0.352361,9754
1892,1009.94,13.8226,0.342565,0.499523,9754
1891,1041.86,10.8151,0.213247,0.271672,9754
1890,1038.09,25.7631,0.713429,5.15872,9754
1889,781.714,485.257,5.44543,1.72027,9754
1888,762.453,481.94,7.37981,2.916,9754
1887,1080.46,15.3382,0.233166,0.355018,9754
1886,508.401,6.74017,0.153322,0.20056,9754
1885,566.987,5.26777,0.108782,0.227685,9754
1884,528.399,5.19324,0.129469,0.164052,9754
1883,522.349,4.51564,0.141074,0.14726,9754
1882,540.176,5.06752,0.119451,0.165512,9754
1881,575.767,6.24395,0.157506,0.202901,9754
1880,618.647,5.15097,0.138126,0.177152,9754
1568,2478.24,16.7639,0.329716,0.27041,9754
1730,0,0,0,0,9754
1551,0,0,0,0,9754
1729,0,0,0,0,9754
1552,0,0,0,0,9754
1728,0,0,0,0,9754
1553,0,0,0,0,9754
1727,0,0,0,0,9754
1554,2304,0,0,0,9754
1726,0,0,0,0,9754
1555,0,0,0,0,9754
1725,2240,0,0,0,9754
1556,0,0,0,0,9754
1724,0,0,0,0,9754
1557,0,0,0,0,9754
1723,0,0,0,0,9754
1722,2304,0,0,0,9754
1721,0,0,0,0,9754
1720,0,0,0,0,9754
1560,0,0,0,0,9754
1719,0,0,0,0,9754
1561,0,0,0,0,9754
1718,0,0,0,0,9754
1562,0,0,0,0,9754
1717,0,0,0,0,9754
1563,0,0,0,0,9754
1716,0,0,0,0,9754
1564,0,0,0,0,9754
1715,0,0,0,0,9754
1565,0,0,0,0,9754
1714,0,0,0,0,9754
1566,0,0,0,0,9754
1713,0,0,0,0,9754
1558,0,0,0,0,9754
1865,0,0,0,0,9754
1864,0,0,0,0,9754
1863,0,0,0,0,9754
1862,0,0,0,0,9754
1861,0,0,0,0,9754
1860,0,0,0,0,9754
1859,0,0,0,0,9754
1858,0,0,0,0,9754
1857,0,0,0,0,9754
1856,0,0,0,0,9754
1855,0,0,0,0,9754
1854,0,0,0,0,9754
1853,0,0,0,0,9754
1852,0,0,0,0,9754
1550,0,0,0,0,9754
1567,0,0,0,0,9754
1879,0,0,0,0,9754
1878,0,0,0,0,9754
1877,0,0,0,0,9754
1876,0,0,0,0,9754
1875,0,0,0,0,9754
1874,0,0,0,0,9754
1873,0,0,0,0,9754
1872,0,0,0,0,9754
1871,0,0,0,0,9754
1870,0,0,0,0,9754
1869,0,0,0,0,9754
1868,0,0,0,0,9754
1867,0,0,0,0,9754
1866,0,0,0,0,9754
1559,0,0,0,0,9754
1739,0,0,0,0,9754
1738,2367,0,0,0,9754
1542,0,0,0,0,9754
1737,0,0,0,0,9754
1543,0,0,0,0,9754
1736,0,0,0,0,9754
1544,0,0,0,0,9754
1735,0,0,0,0,9754
1545,0,0,0,0,9754
1734,0,0,0,0,9754
1546,0,0,0,0,9754
1733,0,0,0,0,9754
1547,0,0,0,0,9754
1732,0,0,0,0,9754
1548,0,0,0,0,9754
1731,0,0,0,0,9754
1748,0,0,0,0,9754
1677,2432,0,0,0,9754
1747,0,0,0,0,9754
1678,0,0,0,0,9754
1746,0,0,0,0,9754
1679,2368,0,0,0,9754
1745,0,0,0,0,9754
1536,0,0,0,0,9754
1744,0,0,0,0,9754
1537,0,0,0,0,9754
1743,0,0,0,0,9754
1538,0,0,0,0,9754
1742,0,0,0,0,9754
1539,0,0,0,0,9754
1741,0,0,0,0,9754
1740,0,0,0,0,9754
1549,0,0,0,0,9754
1851,0,0,0,0,9754
1850,0,0,0,0,9754
1849,0,0,0,0,9754
1848,0,0,0,0,9754
1847,512,0,0,0,9754
1846,0,0,0,0,9754
1845,0,0,0,0,9754
1844,0,0,0,0,9754
1843,0,0,0,0,9754
1842,0,0,0,0,9754
1841,0,0,0,0,9754
1840,0,0,0,0,9754
1839,0,0,0,0,9754
1838,0,0,0,0,9754
1541,0,0,0,0,9754
1540,0,0,0,0,9754
1837,0,0,0,0,9754
1836,576,0,0,0,9754
1835,576,0,0,0,9754
1834,0,0,0,0,9754
1833,576,0,0,0,9754
1832,511,0,0,0,9754
1831,0,0,0,0,9754
1830,0,0,0,0,9754
1829,0,0,0,0,9754
1828,0,0,0,0,9754
1827,576,0,0,0,9754
1826,0,0,0,0,9754
1825,0,0,0,0,9754
1824,0,0,0,0,9754
1676,0,0,0,0,9754
1254,2694.11,10.0941,0.234556,0.257578,9754
1147,2546.83,14.885,0.252145,0.345089,9754
1253,2511.84,8.2241,0.162597,0.159097,9754
1148,2469.48,12.7172,0.25001,0.294058,9754
1252,2429.01,8.25864,0.344183,0.225852,9754
1149,2602.28,16.0959,0.281248,0.312096,9754
1251,2504.39,10.3956,0.310498,0.223465,9754
1150,2529.43,17.0669,0.227639,0.249698,9754
1250,2423.9,10.8019,0.294956,0.233789,9754
1151,2463.83,12.8987,0.234987,0.246565,9754
1249,2506,10.7363,0.227738,0.283919,9754
1152,2461.91,13.5399,0.166266,0.269173,9754
1248,2491.53,12.932,0.283224,0.260726,9754
1153,2450.8,14.4227,0.257838,0.248252,9754
