channel, mean, rms, meaner, rmserr, tv
1793,783.68,4.36,0,0,1
1795,821.04,4.67,0,0,1
1797,794.72,4.78,0,0,1
1799,783.24,4.61,0,0,1
1801,776.5,4.22,0,0,1
1803,758.7,4.24,0,0,1
1805,779.23,4.37,0,0,1
1824,802.2,4.72,0,0,1
1855,809.81,4.72,0,0,1
1810,785.96,4.23,0,0,1
1812,824.46,4.12,0,0,1
1814,793.72,4.48,0,0,1
1816,811.11,4.84,0,0,1
1818,793.37,5.3,0,0,1
1820,780.3,4.98,0,0,1
1822,783.78,5.04,0,0,1
1840,814.1,5.83,0,0,1
1791,792.32,5.27,0,0,1
1745,798.73,5.37,0,0,1
1747,800.95,5.74,0,0,1
1749,822.2,4.96,0,0,1
1751,815.9,5.65,0,0,1
1753,817.07,5.27,0,0,1
1755,796.2,5.19,0,0,1
1757,811.03,5.69,0,0,1
1776,806.9,5.68,0,0,1
1775,829.77,4.94,0,0,1
1730,3533.47,3.02,0,0,1
1732,826.09,4.44,0,0,1
1734,814.45,5.97,0,0,1
1736,778.08,5.16,0,0,1
1738,784.27,5.14,0,0,1
1740,773.04,3.96,0,0,1
1742,790.57,4.44,0,0,1
1760,782.22,5.08,0,0,1
1711,780.85,5.77,0,0,1
1665,1802.14,28.69,0,0,1
1667,774.12,4.23,0,0,1
1669,793.84,5.42,0,0,1
1671,803,5.98,0,0,1
1673,813.27,5.67,0,0,1
1675,797.39,5.43,0,0,1
1677,794.17,5.58,0,0,1
1696,768.94,4.72,0,0,1
1727,806.55,5.64,0,0,1
1682,747.05,5.36,0,0,1
1684,777.91,5.03,0,0,1
1686,761.38,4.19,0,0,1
1688,778.94,4.78,0,0,1
1690,782.91,4.52,0,0,1
1692,799.37,4.94,0,0,1
1694,781.63,4.54,0,0,1
1712,788.65,4.59,0,0,1
1663,783.66,4.82,0,0,1
1617,784.62,4.58,0,0,1
1619,785.36,4.89,0,0,1
1621,781.45,4.54,0,0,1
1623,790.77,4.8,0,0,1
1625,791.11,5.03,0,0,1
1627,771.37,3.47,0,0,1
1629,771.85,3.89,0,0,1
1648,763.57,4.58,0,0,1
1647,815.25,5.9,0,0,1
1602,797.75,4.75,0,0,1
1604,801.29,4.99,0,0,1
1606,800.19,4.99,0,0,1
1608,800.59,4.74,0,0,1
1610,809.87,5.37,0,0,1
1612,808.7,4.87,0,0,1
1614,0,0,0,0,1
1632,790.48,4.74,0,0,1
1583,820.81,4.73,0,0,1
1537,804.97,4.87,0,0,1
1539,822.21,4.37,0,0,1
1541,802.77,5.03,0,0,1
1543,802.89,4.82,0,0,1
1545,816.17,5.09,0,0,1
1547,778.49,4.93,0,0,1
1549,800.94,5.64,0,0,1
1568,792.18,5.64,0,0,1
1599,780.88,4.73,0,0,1
1554,807.11,5.64,0,0,1
1556,791.8,4.99,0,0,1
1558,804.34,5.88,0,0,1
1560,785.82,4.84,0,0,1
1562,782.51,5.1,0,0,1
1564,772.61,3.87,0,0,1
1566,788.13,5.16,0,0,1
1584,761.35,4.25,0,0,1
2047,790.03,5.27,0,0,1
2001,782.32,5.13,0,0,1
2003,781.51,4.76,0,0,1
2005,787.39,4.81,0,0,1
2007,806.93,5.4,0,0,1
